zone_key,year,Country,Zone Name,,no_hours_with_data,no_of_hours_per_day,carbon_intensity_avg
AUS-NSW,2017,Australia,New South Wales,,5887,16.12876712,725.9916674
AUS-NSW,2018,Australia,New South Wales,,8629,23.64109589,717.2494176
AUS-NSW,2019,Australia,New South Wales,,8311,22.76986301,724.6863533
AUS-NSW,2020,Australia,New South Wales,,2928,8.021917808,676.1
AUS-NSW,2021,Australia,New South Wales,,6553,17.95342466,673.88
AUS-QLD,2017,Australia,Queensland,,5887,16.12876712,766.6911518
AUS-QLD,2018,Australia,Queensland,,8631,23.64657534,754.8681483
AUS-QLD,2019,Australia,Queensland,,8309,22.76438356,748.5187482
AUS-QLD,2020,Australia,Queensland,,2928,8.021917808,709.96
AUS-QLD,2021,Australia,Queensland,,4879,13.36712329,707.96
AUS-SA,2017,Australia,South Australia,,5853,16.03561644,336.4917457
AUS-SA,2018,Australia,South Australia,,8634,23.65479452,307.6695495
AUS-SA,2019,Australia,South Australia,,8307,22.75890411,301.807806
AUS-SA,2020,Australia,South Australia,,2928,8.021917808,232.31
AUS-SA,2021,Australia,South Australia,,6553,17.95342466,268.52
AUS-TAS,2017,Australia,Tasmania,,5868,16.07671233,128.6363536
AUS-TAS,2018,Australia,Tasmania,,8635,23.65753425,86.40150805
AUS-TAS,2019,Australia,Tasmania,,8312,22.77260274,113.3050594
AUS-TAS,2020,Australia,Tasmania,,1,0.002739726,259.86
AUS-TAS,2021,Australia,Tasmania,,6553,17.95342466,89.03
AUS-VIC,2017,Australia,Victoria,,5886,16.1260274,682.3460016
AUS-VIC,2018,Australia,Victoria,,8636,23.66027397,674.8512768
AUS-VIC,2019,Australia,Victoria,,8312,22.77260274,664.9763699
AUS-VIC,2020,Australia,Victoria,,2928,8.021917808,600.51
AUS-VIC,2021,Australia,Victoria,,6553,17.95342466,580.73
AUS-WA,2017,Australia,Western Australia,,4611,12.63287671,611.2826759
AUS-WA,2018,Australia,Western Australia,,8760,24,602.6911659
AUS-WA,2019,Australia,Western Australia,,5342,14.63561644,574.6840559
AUS-WA,2020,Australia,Western Australia,,2928,8.021917808,426.97
